episode,reward,deaths,completions,completed,frames_alive,coins_collected,blocks_hit,mushroom_blocks_hit,blocks_hit_ratio,max_x_reached,distance_traveled,jumps,reward_mode
1,78.25500000000045,1,0,0,324,0,0,0,0.0,1238,1206,11,explorer
2,78.25500000000045,1,0,0,324,0,0,0,0.0,1238,1206,11,explorer
3,298.9950000000013,1,0,0,650,4,4,0,0.2222222222222222,2526,2494,20,explorer
4,32.78000000000027,1,0,0,219,0,0,0,0.0,818,786,7,explorer
5,33.20000000000027,1,0,0,220,0,0,0,0.0,822,790,7,explorer
6,76.04000000000045,1,0,0,322,0,0,0,0.0,1230,1198,10,explorer
7,120.87999999999987,1,0,0,374,1,1,0,0.05555555555555555,1438,1406,12,explorer
8,123.09499999999984,1,0,0,376,1,1,0,0.05555555555555555,1446,1414,13,explorer
9,121.29999999999986,1,0,0,375,1,1,0,0.05555555555555555,1442,1410,12,explorer
10,298.9950000000013,1,0,0,650,4,4,0,0.2222222222222222,2526,2494,20,explorer
11,33.620000000000275,1,0,0,221,0,0,0,0.0,826,794,8,explorer
12,32.78000000000027,1,0,0,219,0,0,0,0.0,818,786,7,explorer
13,32.78000000000027,1,0,0,219,0,0,0,0.0,818,786,7,explorer
14,76.04000000000045,1,0,0,322,0,0,0,0.0,1230,1198,10,explorer
15,33.620000000000275,1,0,0,221,0,0,0,0.0,826,794,8,explorer
16,33.20000000000027,1,0,0,220,0,0,0,0.0,822,790,7,explorer
17,33.620000000000275,1,0,0,221,0,0,0,0.0,826,794,8,explorer
18,298.9950000000013,1,0,0,650,4,4,0,0.2222222222222222,2526,2494,20,explorer
19,401.35500000000087,0,1,1,843,1,1,0,0.05555555555555555,3158,3126,25,explorer
20,401.35500000000087,0,1,1,843,1,1,0,0.05555555555555555,3158,3126,25,explorer
