episode,reward,shots,pops,deaths,frames_alive,wall_ratio,accuracy,avg_dist,reward_mode
1,190.04275864362955,1,0,1,98,0.0,0.0,51.370513664210264,speedrunner
2,124.09607897354391,0,0,1,72,0.0,0.0,8.312225786305882,speedrunner
3,1262.4525692909524,7,0,1,658,0.0,0.0,280.6335223058694,speedrunner
4,101.35411346642093,2,0,1,82,0.0,0.0,178.4630686999363,speedrunner
5,2545.9419786639505,18,5,1,1038,0.0,0.2777777777777778,186.7986563911491,speedrunner
6,672.0596075627741,6,0,1,301,0.0,0.0,157.3425186355701,speedrunner
7,1768.5686771378405,11,3,1,638,0.0,0.2727272727272727,90.79597290837043,speedrunner
8,2503.7905823269452,16,7,1,820,0.42560975609756097,0.4375,49.03031026617547,speedrunner
9,1275.6046010549069,10,2,1,474,0.0,0.2,95.34040028749641,speedrunner
10,161.5095483724258,0,0,1,85,0.0,0.0,18.97191655168912,speedrunner
11,234.7298188815488,0,0,1,110,0.0,0.0,29.50041163284387,speedrunner
12,755.5965233031225,3,1,1,286,0.0,0.3333333333333333,66.2617803294379,speedrunner
13,1012.8555390036915,6,0,1,505,0.0,0.0,247.2299311862912,speedrunner
14,10215.54515763894,65,3,1,3727,0.4735712369197746,0.046153846153846156,112.63381019325581,speedrunner
15,565.3027729520375,5,0,1,258,0.0,0.0,153.3694060542272,speedrunner
16,1578.9830162267763,11,2,1,594,0.0,0.18181818181818182,109.82196286751856,speedrunner
17,184.27594464563714,0,0,1,108,0.0,0.0,132.06957257954394,speedrunner
18,2682.129114132278,21,2,1,1203,0.3108894430590191,0.09523809523809523,230.25787320609382,speedrunner
19,494.6921700651649,0,0,1,246,0.0,0.0,189.89616863296243,speedrunner
20,2321.985101962777,10,2,1,837,0.0,0.2,87.32225150454465,speedrunner
